Tipo de Evento,Campus,Asistentes,Asistentes convertidos,Efectividad
Visita al Campus,Campus Leon,499,0,0
Visita al Campus,Campus San Luis Potosi,83,0,0
Vivencia Tec,Campus Queretaro,33,0,0
Visita al Campus,Campus Saltillo,33,5,15.15
Visita al Campus,Campus San Luis Potosi,83,0,0
Visita al Campus,Campus Santa Fe,375,2,0.53
Visita al Campus,Campus Sinaloa,528,52,9.85
Visita al Campus,Campus Tampico,1493,102,6.83
Visita al Campus,Campus Toluca,87,6,6.9
Visita al Campus,Campus Veracruz,92,2,2.17
Vivencia Tec,Campus Cuernavaca,3,2,66.67
Vivencia Tec,Campus Estado de Mexico,154,38,24.68
Vivencia Tec,Campus Guadalajara,56,9,16.07
Vivencia Tec,Campus Puebla,4,0,0
Vivencia Tec,Campus Queretaro,33,0,0
